Text,IsEthotic,SentimentPolarity
The main criticism that I have heard in the past two months about the action of the French and British Governments has been that the independence constitution that M. Dijoud and I worked out together last autumn has worked in such a way as to favour the anglophone Government of the New Hebrides.,0,0
I have already undertaken that  subject to the availability of resources  invalidity benefit and unemployability supplement will be realigned with retirement pension when they are brought into taxation.,0,0
I hope that it will not be such as to give a Secretary of State powers to act without parliamentary approval  as appears to be suggested in the proposals.,0,0
On the merits of the matter  it is not just a question of the convenience of Members of Parliament.,0,0
I have been trying hard to persuade the teachers to accept more money on any reasonable terms since December last.,0,0
The two main points in the article first  that I have cut NACAB's funds and  secondly  that I am influenced by another person in another area of activity are totally incorrect.,0,0
Since the Reykjavik meeting between President Reagan and Mr. Gorbachev  the process of close Alliance consultations on arms control has continued both multilaterally and bilaterally.,0,0
The figures for the first nine months of this year show an approximate surplus of more than å£550 million.,0,0
asked the Secretary of State for Social Services what notification is being given to all those eligible persons regarding the ending of earnings related benefit in 1982.,0,0
I have had no complaints about difficulties.,0,0
My policy on appeal is as I have described it.,0,0
The hon. Gentleman knows perfectly well that extensive efforts have been made by my right hon. and hon. Friends at the Civil Service Department.,1,2
Discussions between Commonwealth Heads of Government are confidential and wide ranging.,0,0
Does he have any proposals to remedy this  and to ensure that those who qualify receive their benefit more quickly than is sometimes the case?,0,0
That is where the M25 has helped.,0,0
I should like to send my best wishes to the Secretary of State and hope that he will be back and fighting fit once again.,0,0
Therefore  they are coming into competition in the textile world.,0,0
Unless the factor is realistic  it will have no political or economic effect.,0,0
As my hon. Friend the Member for Grantham (Mr. Hogg) indicated  that is the thrust of our policy.,0,0
Does he believe that Mr. Jimmy Stevens will take notice of the statements that he  the Minister  makes in this House?,1,2
I cannot accept that.,0,0
The options that are open are under consideration at present.,0,0
My right hon. and learned Friend's visits are always successful.,1,1
There is still a wide difference of opinion between the unions about the machinery that they would like.,0,0
The General Council of British Shipping  National Union of Seamen  Merchant Navy and Airline Officers Association  Mercantile Marine Services Association and Radio and Electronic Officers Union have responded  and I have received 19 other letters  some of them duplicates.,0,0
I totally repudiate the tone of the hon. Lady's question.,1,2
First  English Heritage said that the site is of schedulable quality.,0,0
Is he aware that in almost every EEC country but our own production this year has already reached such a level that the balance of quota remaining is far less than the expected production between now and March?,0,0
As to the Upington 14  it would be inappropriate to make any representations at this stage  when the normal legal processes can still be used.,0,0
Arithmetically  my hon. Friend is correct.,1,1
He is responsible for a national resource; his is the responsibility to fund it.,0,0
That was why I was forced reluctantly to introduce the circular that the House is now considering.,0,0
Will he tell them that this gang of cheats  who are denying benefits to those who have made contributions  will prevent people from having their rights and will force them on to supplementary benefit  for which he will employ a further 1 000 civil servants?,1,2
Does the Foreign Secretary agree that despite the irresponsible antics of Herr Kohl in recent weeks  compared with the more responsible attitude of Herr Genscher and the SPD  there is a problem with the German ethnic minorities in Silesia and other parts of former German territory now in Poland  and that it behoves any Polish Government to act in accordance with the Helsinki accords on human rights?,0,0
Is my hon. Friend aware that the first answer that he gave will be welcome to many Conservative Members?,1,1
To that extent I endorse what my hon. Friend says.,1,1
We are constantly looking for ways to do more  and we are constantly seeking to improve our cooperation with the Republic of Ireland  its police force and army.,0,0
Of course  we could have helped if we had taken 3 or 3.5 per cent.,0,0
So great is it that if they were to come to me with an application for redetermination of their expenditure level  we would consider it in accordance with the legislation.,0,0
I am very grateful to my hon. Friend  who I know has taken a great deal of interest in these matters.,0,0
The straight answer is that I do not know.,0,0
I hope that he will recognise that the point of a consultation exercise is to listen carefully to the points made.,1,2
However  we agreed at the same time that we would not make those arrangements public.,0,0
How many people in the Republic does the RUC wish to apprehend?,0,0
I take seriously forecasts produced by the CBI  the chambers of commerce or anyone else.,0,0
Will he confirm that on the whole  the British Gas Corporation's monopoly of distribution and purchase has done untold harm to the economy over a number of years?,0,0
It is not economic circumstances so much as producing a viable investment project which provides the most economic way of moving passengers between those two points.,0,0
in England and Wales  and since it is likely that Britain could be 200 million litres short of its national quota this year  which is equivalent to the production of about 40 000 cows  will the Minister now accept that he has made a shambles of this and do something about it by expanding the outgoers scheme and allowing the milk marketing boards to do something about transferring quota between producers?,1,2
"If the options are still to be considered and no decision has yet been taken  is it not premature and provocative to lay an enabling order to ""introduce 444 competition"" into the industry?",0,0
Does my hon. Friend agree that he is wise to proceed slowly and cautiously in this particular and peculiar part of the world?,1,1
The teachers are perfectly aware of the offer on the table  and they have determined repeatedly that they are not willing to accept it.,0,0
Does my right hon. Friend accept that the consultation that he has had with hon. Members over the past months have been appreciated?,1,1
If so what formal representations have been made to the American Government?,0,0
Representations can he made about boundaries.,0,0
I thank the hon. Gentleman for his personal remarks.,0,0
It was condemned by the United States Government representative  Carla Hills  as being one of the worst examples of protectionism and anti Americanism and fortress Europeanism  and it makes it mandatory for television companies throughout Europe to carry 50 per cent.,0,0
I can tell the hon. Gentleman that  å£3 million has been allocated for the west midlands for this purpose.,0,0
Is my right hon. Friend aware that producer retailers are still unable to sell the full amount of their production quota direct to the public?,0,0
Does the Minister recognise that ever since his Government were elected their actions have severely  restricted the freedoms of local government?,1,2
Is my right hon. Friend aware that my constituents are doubly hit by the EIS targeting of Lenzie and the primary school feeders of Kilsyth?,0,0
As a large number of those responsible for the mindless violence last weekend were under 16  it is difficult to see how unemployment can be a prime issue.,0,0
If the present momentum is maintained  does my right hon. Friend believe that the political parties will be prepared to participate in elections for a new Assembly?,0,0
The Rayner review was placed in the Library of the House of Commons.,0,0
Is my right hon. Friend further aware of the anomalies in the boundaries and in how they differentiate between areas designated as less favoured 5 areas and areas not so designated?,0,0
I have pointed that out to the President and  with my hon. Friends  will continue to do so on every possible occasion.,0,0
Does the Secretary of State accept that the requirements of an arms control treaty  the implications of German reunification and the virtual collapse of the Warsaw pact all inevitably lead to the reduction of current levels of British forces stationed in Germany in the foreseeable future?,0,0
The hon. Gentleman's crocodile tears in his last sentences are not intended  I believe  to be taken seriously.,0,0
Is he not also aware that although there may be young people in Scotland who may have been unemployed for a long time ÌÄå¢Ì¢‰Û_åÂÌ¢‰âÂåù[Interruption.],0,0
Hon. Members have rightly drawn attention to the fact that we have not been able to achieve total security.,0,0
I assure the right hon. Gentleman of that.,0,0
I understand that he voted for and supported the devolution settlement in 1978  which was  of course  a one off Scottish solution.,0,0
In view of that reply from the Minister may I ask whether  if the Government do not get a satisfactory answer from the Commission  the right hon. Gentleman will take unilateral action to protect our growers?,0,0
The Foreign Secretary would not answer this question last night.,0,0
I note what my hon. Friend has said  but his point is somewhat outside the question.,0,0
Is the hon. Gentleman aware that neither my hon. Friend the Member for Berwick and East Lothian (Mr. Robertson) nor I take any pleasure from the continued action by some fishermen in Scottish ports?,1,2
